split.time	theta	rho	log.prior	log.likelihood	log.posterior
0.00196622864545	0.00210047621894	0.25388391179	-3.36411154287	-36698.8769498	-36702.2410613
0.00205955365991	0.00199472171526	0.22378462044	-3.42486223201	-36699.4445275	-36702.8693897
0.00191713448831	0.0020665519313	0.31705040419	-3.2590642205	-36699.9497083	-36703.2087726
0.00200705261239	0.00170935416844	0.245583599566	-3.26218588522	-36705.5240404	-36708.7862263
0.00194550326551	0.00212971231867	0.300969457865	-3.30449013723	-36698.7985111	-36702.1030012
0.0021744665359	0.00175970540648	0.215489636721	-3.40951015052	-36702.4218808	-36705.8313909
0.00198788111122	0.00235861409527	0.167133417086	-3.74177171841	-36700.3968198	-36704.1385915
0.00196347079461	0.00191479067231	0.434646480724	-3.19888056347	-36702.9888132	-36706.1876938
0.00203814221978	0.00196834559252	0.195860569131	-3.4945525389	-36700.1975631	-36703.6921156
0.00193170595556	0.00222325955596	0.218169101098	-3.47647887645	-36699.2123952	-36702.6888741
0.00195426238532	0.00240797865292	0.327778589877	-3.38723369195	-36700.3734984	-36703.7607321
0.0020099764773	0.00230700881363	0.245679166552	-3.46870911298	-36699.4196396	-36702.8883487
0.0019739243863	0.00208315666986	0.226568328227	-3.41887430724	-36699.2375049	-36702.6563792
0.00178345645806	0.0023945169219	0.141695889422	-3.84389566695	-36705.9709505	-36709.8148462
0.0018351593636	0.00251656727958	0.356481247205	-3.3736216861	-36700.8816498	-36704.2552715
0.00205434778685	0.00215692043655	0.223731113903	-3.48021315955	-36699.2248712	-36702.7050843
0.00199324545346	0.00212668304909	0.422135955341	-3.28083657146	-36700.5400029	-36703.8208395
0.00205127061636	0.00206651359528	0.32261209165	-3.30146155241	-36699.538521	-36702.8399825
0.00187088059741	0.00244707822075	0.237378372723	-3.4895705714	-36699.9251554	-36703.414726
0.00205196340699	0.00207531463523	0.191742160038	-3.55202516173	-36699.5804235	-36703.1324486
0.00194374615808	0.00215343771529	0.341528288818	-3.28435567862	-36698.9572365	-36702.2415922
0.00192406693939	0.00229963400006	0.298281200816	-3.36074842918	-36698.7469372	-36702.1076856
0.00197135390124	0.00223865574335	0.287370775804	-3.36654247704	-36698.6214133	-36701.9879558
0.00203122393479	0.00206427281645	0.290426908905	-3.32178751401	-36698.9281464	-36702.2499339
0.00191976637181	0.00239318252022	0.298120897911	-3.39344453328	-36699.3332294	-36702.7266739
0.00193542925797	0.00217540421884	0.362370561413	-3.28174451643	-36699.1683186	-36702.4500631
0.00200345239654	0.001997688489	0.184856079202	-3.53556942661	-36700.632603	-36704.1681725
0.00201104424177	0.00239346083882	0.265360766752	-3.46591577568	-36700.6799278	-36704.1458436
0.00201039746282	0.00195089797311	0.266067219179	-3.30707129866	-36699.7720887	-36703.07916
0.00207110717464	0.0021319282965	0.34713316951	-3.31846050326	-36700.865655	-36704.1841155
0.00204747928226	0.00204327823074	0.333749190283	-3.28526894062	-36699.6242551	-36702.909524
0.00184647868474	0.00219702970871	0.244141614864	-3.37651800177	-36701.0062864	-36704.3828044
0.00201230382339	0.00236929143173	0.269352755151	-3.45153104534	-36700.4147689	-36703.8662999
0.00197575688642	0.00208481873002	0.408229057431	-3.25874921157	-36700.1615148	-36703.420264
0.00207159361122	0.00209951902223	0.264433668558	-3.38275075507	-36699.4086827	-36702.7914334
0.00193578735784	0.00236450833593	0.369086438677	-3.34848031305	-36700.1727806	-36703.5212609
0.00200384594871	0.00199425203662	0.23725325629	-3.37302891391	-36699.5408117	-36702.9138406
0.00193037634414	0.00204600994105	0.304551435725	-3.26652251051	-36699.8822101	-36703.1487326
0.00191132922652	0.00220933863115	0.208583787719	-3.49279964215	-36699.8501709	-36703.3429706
0.00190048241282	0.00205645818403	0.252079336803	-3.32946958906	-36700.8910224	-36704.220492
0.00200726186905	0.0021957320582	0.260126775671	-3.40144128765	-36698.691221	-36702.0926623
0.00192085830996	0.00196802100127	0.271443821546	-3.27421436543	-36701.6267821	-36704.9009965
0.0019981714289	0.00219291689577	0.214423047611	-3.49908821841	-36698.905714	-36702.4048022
0.00202842204991	0.00215296161897	0.208427786104	-3.51341632045	-36699.0815957	-36702.595012
0.00197251094317	0.00215717148936	0.275012788978	-3.35325006579	-36698.5080904	-36701.8613405
0.00199387252878	0.00212025625273	0.182706289448	-3.58432629152	-36699.8285287	-36703.4128549
0.00197041332876	0.00208662485691	0.242520285872	-3.38252760088	-36699.0357262	-36702.4182538
0.00197073809585	0.00233469678396	0.289723747556	-3.39840131958	-36699.2938985	-36702.6922998
0.00202060136548	0.00198443195777	0.234376459853	-3.38190276879	-36699.5089099	-36702.8908127
0.00198948431195	0.00196453062904	0.289248322011	-3.27393147797	-36699.8480095	-36703.1219409
0.00193567151256	0.00243270894145	0.274863889809	-3.44046407842	-36699.7385865	-36703.1790505
0.00208181685235	0.00200832015384	0.259648449874	-3.36212020784	-36699.482556	-36702.8446762
0.00182583594252	0.00242829685929	0.304673910544	-3.36864614143	-36700.0667742	-36703.4354204
0.00184502991336	0.00222431905984	0.429330938469	-3.26645551195	-36701.1619038	-36704.4283593
0.00198497299128	0.00194847685663	0.224573744138	-3.38093420622	-36700.6602297	-36704.0411639
0.00202587619199	0.00189487640815	0.226009033499	-3.37325134694	-36700.7051514	-36704.0784027
0.00197804697177	0.00216634583947	0.196281545708	-3.54166052659	-36699.3808853	-36702.9225458
0.001958591008	0.00224765997689	0.293657592222	-3.35847567437	-36698.6118015	-36701.9702772
0.0020377208924	0.00195899021258	0.433577499335	-3.23949711941	-36701.727884	-36704.9673811
0.00194250166983	0.00216411685108	0.3729114889	-3.27770829309	-36699.3151181	-36702.5928264
0.00196606009616	0.0022706992748	0.274690234733	-3.39221750794	-36698.6764958	-36702.0687133
0.00195519803292	0.0022901694409	0.26749978899	-3.40584643736	-36698.6980659	-36702.1039123
0.00200734588935	0.00194016069542	0.339527018461	-3.23265603383	-36700.2836859	-36703.5163419
0.00187087983835	0.00206349257376	0.331255113478	-3.23316766854	-36701.5346038	-36704.7677715
0.0018232579868	0.00244268533959	0.408545881385	-3.33622624371	-36700.999101	-36704.3353272
0.001826832754	0.00237873652855	0.396497526106	-3.31387917904	-36700.5490318	-36703.8629109
0.00201699007988	0.0020792501762	0.283049194079	-3.33066267735	-36698.7601484	-36702.0908111
0.0019630788458	0.00231493176836	0.265339275317	-3.4208165518	-36698.8919271	-36702.3127436
0.00199539888277	0.00204161330419	0.291028320032	-3.30073690782	-36698.9694445	-36702.2701814
0.00186359022948	0.002245034247	0.474690722816	-3.29224093314	-36701.5072242	-36704.7994651
0.00195766776546	0.00198595973581	0.289237305556	-3.27036874773	-36700.1345106	-36703.4048794
0.00195348886737	0.00191852570597	0.221454502938	-3.36805903596	-36702.1603226	-36705.5283816
0.00200467434022	0.00228302696087	0.233290286526	-3.48474794368	-36699.1305512	-36702.6152992
0.00195962213075	0.00237450020474	0.313939768317	-3.38638703428	-36699.8237365	-36703.2101235
0.00194309463936	0.00217468181777	0.326383321454	-3.29990806648	-36698.7653589	-36702.0652669
0.00201376365135	0.00211930641072	0.225191796857	-3.44891871306	-36698.8429861	-36702.2919048
0.00190757327586	0.00221306358854	0.240634825106	-3.41000855494	-36699.2494336	-36702.6594421
0.00200261878581	0.00199689621144	0.30316578677	-3.27551684744	-36699.3587676	-36702.6342845
0.0021215486794	0.0018076844416	0.194606250489	-3.47448753019	-36701.7319678	-36705.2064553
0.00205523481023	0.00201200437585	0.273005238614	-3.33364082842	-36699.1963424	-36702.5299833
0.00199233484101	0.002219362436	0.284100479082	-3.37069638588	-36698.7139287	-36702.0846251
0.0022076534939	0.00186105891043	0.24545195487	-3.38255262334	-36702.826501	-36706.2090536
0.00208341217723	0.00221364159105	0.276828007825	-3.40966135231	-36700.826073	-36704.2357343
0.0019212037901	0.00227640476697	0.221430754947	-3.48317207278	-36699.1899944	-36702.6731664
0.00195503874573	0.00232088120743	0.325108131199	-3.35746575602	-36699.3261916	-36702.6836573
0.00198224809695	0.00205303883761	0.417959420136	-3.25057790771	-36700.5231655	-36703.7737434
0.00189776323573	0.00219450912594	0.462515232874	-3.28145741953	-36701.0709173	-36704.3523747
