isolation.period	migration.period	theta	rho	migration	log.prior	log.likelihood	log.posterior
0.000702374866861	0.0030942563606	0.00186355072439	0.327739793025	189.91869291	-10.8376022253	-42365.8280156	-42376.6656179
0.00115505966833	0.00235247124251	0.00187448362145	0.166700866871	312.578874905	-11.4937115922	-42363.3999844	-42374.893696
0.000978711041469	0.00273284358609	0.0018042253843	0.239660238113	222.557926577	-10.8977732008	-42361.8239273	-42372.7217005
0.00104114709827	0.0025514215152	0.00210216879428	0.18966050899	284.518364139	-11.3905641792	-42362.3550544	-42373.7456186
0.0010788392038	0.00299582653841	0.00145869982169	0.257297709231	308.232712889	-11.28867301	-42362.7720459	-42374.0607189
0.000907318446501	0.0026971798029	0.00181324899918	0.308247634237	220.01028776	-10.7821200457	-42362.7902393	-42373.5723594
0.00152178738175	0.00327337785652	0.00101680397853	0.530625658021	280.375746422	-11.2072576347	-42363.5998629	-42374.8071205
0.00150158499666	0.00336411663086	0.000836079888026	0.485492841972	303.226879505	-11.3435067178	-42362.9744849	-42374.3179916
0.00130106707998	0.00336299178577	0.00125838641683	0.451123460841	280.899072095	-11.182323671	-42362.7875118	-42373.9698355
0.00119037431285	0.00294852077652	0.0014948593215	0.31068712153	270.411326475	-11.0386595552	-42360.8834961	-42371.9221557
0.0013443592618	0.00264420635451	0.00170514984889	0.209042207839	385.040412716	-11.768756568	-42361.1816595	-42372.950416
0.000958676354262	0.00277105968119	0.00152716000842	0.34232713364	190.586038675	-10.5490657072	-42363.1916946	-42373.7407603
0.00102600058762	0.00333965044168	0.00150804077122	0.33260688985	248.489279812	-11.0453075995	-42363.2712448	-42374.3165524
0.00100023081154	0.00218596695636	0.00192668526624	0.226539510952	167.501846595	-10.4940476464	-42364.3473508	-42374.8413985
0.00104960513089	0.0028319093441	0.0014210107086	0.292205978154	188.57583745	-10.5709419346	-42362.9242094	-42373.4951514
0.00137372350102	0.00307795040272	0.00105123905647	0.349595245111	247.740527994	-10.9054888383	-42363.0438672	-42373.9493561
0.0012096835321	0.00311947582764	0.00127875592576	0.322236015614	230.900029526	-10.8474280228	-42362.029791	-42372.8772191
0.00113008175849	0.0026153435279	0.00165971554705	0.255478163656	277.442949772	-11.0597483033	-42361.3380825	-42372.3978308
0.000978539427765	0.0026242835614	0.00178289994362	0.239327715744	173.321356119	-10.6054304922	-42363.179284	-42373.7847145
0.000950360495831	0.00256800843735	0.00217772527436	0.288382572299	151.698699401	-10.5349916593	-42368.5762429	-42379.1112345
0.000801935852626	0.00292849686352	0.00143891346381	0.36076025695	181.371562288	-10.554090761	-42365.7413396	-42376.2954304
0.00127821706288	0.00214826857026	0.00188644703674	0.29390595126	262.468587863	-10.8578094696	-42364.1405969	-42374.9984063
0.00113471964987	0.00236107022706	0.00193452224342	0.223331198458	209.506481154	-10.7861707103	-42362.7647052	-42373.5508759
