isolation.period	migration.period	theta	rho	migration	posterior
0.000972255332647	0.00257786071887	0.00222473207161	0.215991128469	421.116660733	-49734.1833304
0.000677073869695	0.00246207009287	0.00250660014484	0.197895772438	172.24373129	-49737.3601339
0.00088984226261	0.0027818084981	0.00238578963633	0.253507065141	236.63915311	-49735.7643415
0.000851022398129	0.00317208615895	0.00209324082574	0.214521700282	246.813614439	-49734.8883732
0.000633384407701	0.00274046603253	0.0026892980928	0.234659915588	273.676736103	-49735.7880946
0.000906181771794	0.00234241282427	0.00258769619219	0.285365495705	297.344467144	-49735.942643
0.000708350571264	0.00225741277376	0.00272121207362	0.21897943603	213.74239674	-49736.0049531
0.00110852608043	0.00297940034335	0.00174548727681	0.293262173139	302.490920123	-49733.4692551
0.000968973457996	0.00347715606777	0.00157131536061	0.359930872431	269.425786157	-49732.5347519
0.00105552379913	0.00360626975321	0.00180676457709	0.257905472086	355.060879086	-49733.0238652
0.00125511712713	0.00276107316449	0.0022662937472	0.198628107503	565.500378838	-49734.8186973
0.00104998365476	0.00266550748206	0.00227215006909	0.17781731328	529.373752836	-49734.621151
0.0010803158172	0.00374714830345	0.00185589194809	0.232821496812	465.975545236	-49734.3002942
0.000849846797615	0.00333385965309	0.00210412928763	0.23782843229	283.222689995	-49733.8844029
0.000617823903728	0.00319582676614	0.00210117657537	0.205399262195	224.082315857	-49736.1915718
0.00104135043042	0.00327052056115	0.00199059327112	0.235165250576	380.872498283	-49732.4221185
0.00120638069453	0.00338659274061	0.00148345971309	0.347175983824	365.937030149	-49733.8973831
0.0010749262234	0.00359063784087	0.00172310404194	0.258534071458	382.837607278	-49732.7479394
0.00104481476743	0.00301066677239	0.00201234172912	0.290517681041	340.113785903	-49732.6509235
0.000913118984114	0.00344870444047	0.00213644966428	0.320282936072	441.903272574	-49735.1411323
0.00108427685918	0.00284405506582	0.001920075664	0.204478904619	338.477069727	-49734.1098698
0.00111753515378	0.00271480597835	0.00262045182417	0.187350680401	584.845518835	-49735.5213784
0.000936738543087	0.0029766219103	0.00255756177166	0.18874733577	462.442891448	-49735.0979849
0.000709028407457	0.00189419136673	0.00315040887408	0.149790352872	403.504295675	-49740.4782661
0.000829944387203	0.00327111438041	0.00188287154403	0.230930641205	298.831154985	-49733.3347599
0.000730500642124	0.00324276872139	0.00205809148434	0.28481120723	301.871143052	-49733.6855076
