isolation.period	migration.period	theta	rho	migration	posterior
0.00113346957689	0.00396812225384	0.0004683423837	1.30564710535	170.06312164	-49503.1694799
0.00101250775804	0.00431454494768	0.000714315847479	0.734990957755	192.540048495	-49503.6830325
0.000779586923819	0.00355502607779	0.00102929515779	0.649150307997	145.949037861	-49505.3178463
0.00106548643773	0.00361015594291	0.000746068219489	0.737946037419	170.172999123	-49503.5351048
0.00110086592215	0.0039515890947	0.000696400180974	0.75959418619	193.802079513	-49502.1983598
0.00112833883446	0.00336248207463	0.00101127254271	0.483572103045	230.398400688	-49504.3273779
0.000930922148087	0.00391715854542	0.0011363219659	0.541181256154	268.224454074	-49504.803681
0.000762610213933	0.00349601793612	0.00123294495359	0.40538807346	172.323523972	-49502.8760453
0.000631484393896	0.00389576252958	0.00147274243571	0.360076358894	240.477455637	-49504.5002891
0.000942903173952	0.00377956146145	0.00113348346237	0.400681263029	232.708088074	-49501.671307
0.000563157195841	0.00367218481175	0.0013689378493	0.362002001208	163.92697765	-49504.1645734
0.000675815147562	0.00374685421849	0.00124564445004	0.383030447347	165.498030587	-49503.375817
0.00108751945534	0.00387996960424	0.00153020394093	0.306865052433	385.613358962	-49505.0889426
0.00101078069963	0.00351379923646	0.00138778572467	0.286040401679	262.423647738	-49502.7577026
0.000991211083835	0.00363497970419	0.00122649769802	0.288387769312	244.755540358	-49503.8473508
0.000847190994962	0.00313289636234	0.00178075994426	0.327343227443	261.9952601	-49502.970813
0.000859369369614	0.00301211031439	0.00204415421877	0.240890537551	270.129948475	-49503.4417867
0.00101249272128	0.00326336671942	0.00119252429954	0.30649017484	244.571975378	-49505.2749183
0.000732970930309	0.00390604346626	0.0012808616455	0.302542182516	218.155161873	-49504.15814
0.000743153621699	0.00345016341403	0.00175678218174	0.356040550118	238.590646312	-49503.0141105
0.000738684924535	0.00323723420332	0.00173709102658	0.321941877547	211.448313739	-49502.5487835
0.000773386032154	0.00390672700152	0.00138785565274	0.357923889232	229.179421828	-49502.6274986
0.000704757744018	0.00357475537145	0.00152733632423	0.400344785308	183.842893717	-49502.871552
0.00117110051048	0.00306172568713	0.0012587277043	0.400198866423	251.11931219	-49506.3810021
